Name,Count of Baby Names,Count of Dog Names
Frederic,340,1
Frederick,5613,6
Freedom,516,4
Freida,140,1
Freya,769,12
Freyja,138,7
Frida,3150,41
Frieda,230,2
Fritz,269,44
Fulton,130,2
Fynn,195,1
Gabby,275,32
Gabe,1094,3
Gable,144,2
Gabriel,121337,16
Gabriela,28550,1
Gabriella,47196,8
Gabrielle,47169,8
Gaby,447,8
Gadge,98,2
Gage,27437,3
Gaia,316,4
Gala,120,3
Galilea,2486,1
Galileo,81,2
Gardenia,178,1
Garett,1316,1
Garfield,101,2
Garland,271,1
Garner,218,1
Garret,3190,1
Garrett,36173,1
Garrick,614,1
Garrison,2410,2
Garry,647,1
Garth,156,2
Gary,8857,16
Gaston,264,5
Gauge,1834,3
Gavin,88477,8
Gehrig,323,1
Gema,681,1
Gemini,220,4
Gemma,2208,27
Gena,367,1
Gene,995,1
General,77,8
Genesis,22000,7
Geneva,1598,3
Genevieve,8199,6
Genna,649,1
Geno,423,2
Gentry,914,1
Geoffrey,1988,2
George,27929,158
Georgette,240,3
Georgia,9508,48
Georgie,303,37
Georgio,160,1
Gerald,5129,2
Gerard,1332,1
Geri,115,2
Geronimo,436,8
Gerrit,314,1
Gerry,294,3
Gertrude,132,15
Gia,3735,52
Giada,1372,1
Giana,3398,3
Gianna,27773,2
Gianni,4343,2
Giavonna,468,1
Gibson,1122,12
Gideon,3404,7
Gigi,276,149
Gilbert,3601,4
Gillian,5486,4
Gina,5243,18
Ginger,1382,344
Ginny,228,13
Gino,1775,34
Gio,105,14
Giorgio,421,9
Giovanna,3709,4
Giovanni,24376,13
Giovannie,232,1
Girl,128,6
Gisele,1364,2
Giselle,19682,9
Giuliana,2060,1
Giulio,93,2
Giuseppe,986,7
Gizelle,1276,1
Gladys,1761,2
Glen,1507,2
Glenn,2722,2
Glenna,132,1
Gloria,7233,11
Glory,598,4
Godfrey,86,3
Golda,259,3
Golden,120,4
Goldie,308,54
Goldy,337,7
Gordon,2295,16
Grace,110574,53
Gracee,865,1
Gracey,1451,3
Graci,975,1
Gracie,27401,212
Gracy,514,2
Grady,5878,9
Graham,7602,9
Granger,105,1
Grant,28364,7
Grantham,85,1
Gray,616,5
Grayce,787,1
Graycee,233,1
Graycie,233,1
Grayson,15676,9
Greer,519,1
Greg,734,3
Greta,3753,27
Gretchen,3063,12
Gretel,193,8
Grey,856,11
Greyson,4887,4
Griffen,764,2
Griffin,14691,33
Griselda,1226,1
Grover,130,8
Gryphon,254,6
Guido,95,4
Guillermo,6086,4
Guinevere,589,3
Gunnar,4257,4
Gunner,4138,26
Gunter,91,1
Gunther,155,13
Gus,878,149
Gustav,295,3
Gustave,120,2
Gustavo,11000,3
Guthrie,105,2
Guy,1727,9
Gwen,1450,16
Gwendolyn,4528,3
Gypsy,164,45
Hadley,5315,7
Hagen,1055,1
Hailee,7416,1
Hailey,81905,23
Hailie,3563,1
Hal,156,1
Hale,145,1
Haley,57101,14
Halie,3038,1
Halle,7103,7
Halley,1110,3
Hallie,7351,4
Hally,218,1
Halo,259,27
Hamilton,676,17
Hamish,92,6
Hamlet,70,11
Hampton,503,6
Hamsa,100,1
Han,290,5
Hana,3823,10
Hank,1238,77
Hanley,65,1
Hanna,13475,10
Hannah,155598,47
Hannibal,63,3
Hans,1174,9
Hansel,260,4
Hanson,306,1
Hardy,180,3
Hari,238,1
Harlan,846,5
Harland,130,1
Harlee,1962,3
Harlem,334,13
Harlen,194,1
Harley,13250,183
Harli,379,1
Harlie,1529,3
Harlow,512,14
Harmon,274,1
Harmony,7174,7
Harold,3463,11
Harper,7092,40
Harriet,446,10
Harris,1341,3
Harrison,17167,9
Harry,4290,126
Hartley,235,3
Harvey,1427,48
Hattie,1269,7
Havana,352,5
Hawk,127,2
Hawkins,85,1
Hayden,60388,1
Hayes,1126,1
Haylee,13944,3
Hayleigh,2446,1
Hayley,13922,12
Haze,114,10
Hazel,5894,126
Heath,2620,4
Heather,13951,12
Heaven,12014,5
Hector,20828,9
Heide,109,1
Heidi,10070,54
Heinrich,103,5
Helen,8823,9
Helene,472,1
Hellen,483,1
Henderson,173,1
Hendrick,208,1
Hendrix,508,15
Henley,371,5
Henna,409,2
Hennessey,150,4
Hennessy,557,24
Henny,217,17
Henri,699,15
Henrietta,142,3
Henrik,447,5
Henry,42502,249
Henson,73,1
Hera,117,15
Herbert,1232,3
Herman,1085,14
Hermes,101,11
Hermione,441,3
Hernando,97,1
Hero,63,11
Herschel,142,4
Hershel,359,3
Hershy,225,2
Hilary,1360,1
Hilda,827,2
Hillary,2684,6
Hillel,245,1
Hina,162,1
Hiro,103,13
Hiroki,106,1
Hobie,80,6
Hoda,105,2
Hogan,514,10
Holden,7286,3
Holland,1355,3
Holli,533,1
Hollie,1392,3
Hollis,819,1
Holly,11564,124
Homer,205,26
Homero,575,1
Honey,641,202
Hope,18596,51
Horace,384,1
Horacio,833,2
Horatio,171,7
Houston,2195,5
Howard,2466,9
Howie,91,13
Hoyt,304,2
Hubert,494,5
Huck,75,16
Hudson,12474,150
Huey,103,7
Hugo,7300,67
Hunter,98211,128
Huntley,71,2
Hurley,93,8
Hutch,68,7
Huxley,102,10
Ian,61907,3
Ida,852,5
Ignacio,2918,1
Ignatius,197,2
Igor,234,2
Ike,452,14
Iker,619,2
Ilsa,179,2
Ilya,247,1
Iman,1783,1
Imani,9080,1
Immanuel,1767,2
Imogen,502,2
Inari,145,2
India,6337,16
Indiana,549,27
Indie,169,23
Indigo,758,5
Indy,199,24
Inez,608,4
Inga,157,4
Ingrid,4031,1
Ira,1193,5
Ireland,2612,2
Irene,5083,3
Irie,542,3
Irina,408,1
Iris,8611,14
Irish,144,1
Irma,1344,1
Irving,1765,7
Isa,931,1
Isaac,90529,10
Isabeau,129,1
Isabel,36025,14
Isabela,5314,1
Isabella,149195,71
Isabelle,32781,26
Isadora,870,6
Isadore,91,1
Isaiah,92506,2
Isha,1572,2
Isidora,118,1
Isis,5042,41
Isla,1914,3
Island,102,1
Ismael,8901,1
Israel,16478,1
Issa,585,2
Issac,6765,2
Isys,186,1
Itati,190,1
Ivan,30593,7
Ivana,1849,3
Ivanka,140,2
Ivey,658,1
Ivory,1634,17
Ivy,9350,45
Izabella,9888,2
Izabelle,1868,1
Izzabella,587,1
Izzabelle,128,1
Izzy,56,80
Ja,78,2
Jabir,70,1
Jac,97,1
Jace,16510,2
Jacey,3378,1
Jack,95475,425
Jackie,2725,91
Jacklyn,2137,1
Jackson,94507,164
Jacky,886,6
Jacob,273515,31
Jacobi,1299,1
Jacque,178,3
Jacqueline,32148,3
Jacquelyn,5032,1
Jacques,1080,15
Jacy,1216,3
Jada,37107,43
Jade,31189,47
Jadee,122,1
Jaden,56439,5
Jadon,6188,1
Jadzia,200,1
Jaeda,1573,1
Jaeden,3694,1
Jaeger,319,1
Jager,257,3
Jaggar,116,1
Jagger,2066,15
Jai,1761,2
Jaicee,234,1
Jaida,4865,3
Jaiden,19698,1
Jaime,14272,1
Jaimie,766,1
Jak,140,3
Jake,39755,286
Jakeem,363,1
Jaki,108,1
Jakob,14733,2
Jaleesa,249,1
Jalen,21326,1
Jalissa,1161,1
Jamaica,245,2
Jamarcus,1916,1
James,162959,22
Jameson,5855,26
Jami,899,1
Jamie,20592,20
Jamison,4861,2
Jan,2052,1
Jana,2386,1
Jane,7104,16
Janee,376,1
Janella,129,2
Janet,5486,6
Janey,423,1
Janice,2801,1
Janie,2053,1
Janina,268,1
Janis,342,1
Janna,1253,1
January,115,1
Jara,196,2
Jared,38056,2
Jarrell,654,1
Jarvis,1850,4
Jase,2981,1
Jashua,398,1
Jasmin,16982,2
Jasmine,75999,65
Jasmyne,1482,1
Jason,88475,15
Jasper,5299,172
Javier,24580,5
Jax,2151,145
Jaxon,15760,8
Jaxson,7513,14
Jaxsyn,78,1
Jaxx,162,7
Jay,8101,43
Jayce,6034,1
Jaycee,3722,1
Jaycob,1425,1
Jayda,10068,5
Jayde,2422,2
Jaydee,376,1
Jayden,102101,5
Jayla,20673,5
Jaylynn,4231,1
Jayme,1973,1
Jayna,1531,1
Jayne,732,1
Jayson,8688,1
Jazmin,17159,2
Jazmine,13909,16
Jazmyn,4064,1
Jazz,377,32
Jazzlyn,1179,1
Jazzmin,622,1
Jazzmine,668,1
Jb,73,2
Jc,371,3
Jd,253,6
Jean,3434,7
Jeanette,1930,1
Jeannie,492,4
Jeb,426,3
Jed,714,7
Jeda,112,1
Jedd,98,1
Jeff,1514,3
Jefferson,3262,9
Jeffery,6464,2
Jeffrey,25857,14
Jeffry,590,1
Jemma,617,5
Jena,1767,1
Jeni,155,2
Jenna,45282,16
Jenner,141,1
Jenni,411,1
Jennie,1248,1
Jennifer,63580,3
Jennings,161,1
Jenny,6673,36
Jenson,365,1
Jeremiah,55436,1
Jeremy,37376,6
Jericho,1278,1
Jerome,4246,3
Jerry,10582,55
Jersey,1666,23
Jerzee,136,2
Jess,680,5
Jesse,44835,59
Jessi,1403,4
Jessica,90647,16
Jessie,11240,78
Jessy,1307,5
Jesus,61466,2
Jet,857,27
Jeter,198,51
Jethro,283,13
Jett,4416,21
Jetta,400,6
Jewel,3598,21
Jewell,733,1
Jewels,351,7
Jezabel,186,1
Jezebel,289,16
Jia,585,1
Jianna,1039,1
Jill,1333,18
Jillian,22762,5
Jim,961,8
Jimmy,10433,55
Jin,343,7
Jina,213,1
Jivan,89,1
Jj,127,24
Jo,301,13
Joan,2803,2
Joanie,181,4
Joann,1104,1
Joanne,1618,2
Joao,527,1
Joaquin,8152,1
Job,753,1
Jocelyn,38397,1
Jodi,1271,6
Jodie,971,2
Jody,1328,9
Joe,8143,26
Joel,33667,2
Joelle,2557,1
Joely,591,1
Joey,5760,153
Johann,1251,1
Johanna,6766,1
John,160757,21
Johna,192,1
Johnnie,1654,5
Johnny,14227,38
Johnson,873,2
Johny,373,5
Joia,111,1
Joie,592,2
Jolee,1012,1
Jolena,234,1
Jolene,1958,11
Joli,210,2
Jolie,4311,8
Jolin,166,1
Jon,6209,2
Jonah,23785,7
Jonas,7139,1
Jones,287,9
Joni,561,5
Jonnie,215,2
Jonny,575,1
Jordan,143896,41
Jordi,1077,2
Jordin,2973,3
Jordy,2186,4
Jorel,242,1
Jorge,32967,3
Jose,115868,5
Josefina,994,1
Joseph,194331,2
Josephina,623,3
Josephine,13864,7
Josey,1028,1
Josh,2648,6
Joshua,231670,13
Josiah,33182,1
Josie,10597,61
Journey,3741,2
Journie,409,1
Jovi,292,3
Joy,5971,29
Joya,289,1
Joyce,3357,2
Jozie,385,1
Jr,309,8
Jt,125,1
Juan,75914,4
Juana,2012,3
Juanita,1943,1
Juanito,220,2
Jubilee,581,5
Juda,66,1
Judah,5070,4
Judas,136,1
Jude,9737,9
Judge,207,4
Judith,4517,2
Judy,1473,15
Juelz,920,2
Julee,158,1
Jules,1149,11
Juli,140,1
Julia,70839,8
Julian,60922,5
Julianna,16834,2
Julianne,4270,1
Julie,12446,35
Julien,3719,1
Juliet,5464,22
Julieta,1541,4
Juliett,161,2
Julietta,284,1
Juliette,4676,14
Julio,12756,6
Julius,8144,19
July,147,9
Julyan,166,1
Jun,312,1
Juna,105,3
June,1935,24
Junior,3323,90
Juniper,612,13
Junius,94,1
Juno,185,55
Justice,12669,18
Justin,122965,18
Justine,4055,2
Kacee,377,2
Kacey,2620,10
Kaci,2144,2
Kacie,2533,1
Kacy,915,4
Kaden,35271,2
Kadien,56,1
Kadin,3560,1
Kady,780,1
Kaela,1909,1
Kaelah,239,1
Kagan,259,1
Kai,14318,26
Kaia,3992,2
Kaida,212,1
Kaiden,12194,1
Kaila,4209,2
Kailani,1141,2
Kailee,5131,1
Kailey,11813,2
Kaili,1216,1
Kaily,855,1
Kain,982,1
Kaine,741,3
Kaipo,93,1
Kaira,747,1
Kairi,1313,4
Kairo,207,4
Kaiser,335,25
Kaitlyn,66889,1
Kaiya,3181,5
Kaizer,74,2
Kaj,140,1
Kaja,173,4
Kala,781,4
Kale,2981,2
Kaleigh,6264,2
Kaley,4614,2
Kali,5890,29
Kalie,1581,1
Kalin,851,2
Kalli,1673,1
Kallie,3173,3
Kalman,135,1
Kalvin,1312,1
Kaly,164,3
Kami,1262,7
Kamila,2637,2
Kamilla,427,1
Kamrin,799,1
Kandi,139,3
Kandy,178,6
Kane,3663,34
Kani,293,1
Kansas,360,2
Kanya,284,2
Kanye,1095,6
Kara,13445,5
Karen,20667,1
Kari,1865,2
Karin,536,1
Karisma,754,1
Karl,2796,7
Karla,16112,6
Karlie,3662,1
Karly,3065,1
Karma,1970,32
Karmen,1495,1
Karrie,263,1
Kasandra,2511,1
Kase,476,1
Kasey,7685,15
Kash,1229,5
Kasha,156,5
Kasper,277,11
Kassie,1190,2
Kassius,73,1
Katana,484,3
Katara,226,1
Kate,20731,14
Kateland,143,1
Katelyn,47722,1
Katerina,2002,1
Katharine,2877,1
Katherine,65317,3
Kathryn,26197,1
Kathy,3000,3
Katia,1969,2
Katie,30289,82
Kato,105,20
Katrina,9472,3
Katty,230,1
Katy,2205,12
Katya,1084,2
Kavin,637,1
Kay,630,3
Kaya,4736,23
Kaycee,1988,6
Kaycie,667,1
Kayden,17181,3
Kayla,94268,29
Kaylah,2826,1
Kayle,1599,1
Kaylee,56381,13
Kayleen,1961,1
Kayleigh,11728,2
Kayley,3671,1
Kaylie,9596,2
Kaz,95,2
Kazi,109,1
Kazuma,75,1
Kc,474,15
Keano,128,1
Keanu,1951,2
Keaton,8176,2
Keegan,15305,3
Keeley,2069,2
Keely,3653,2
Keena,200,1
Keenan,3669,1
Keiko,154,23
Keila,2207,2
Keilan,417,1
Keily,1207,1
Keira,14473,7
Keisha,963,3
Keita,87,1
Keith,12471,5
Kelan,694,1
Kelani,154,1
Kelby,1298,1
Keli,219,1
Keller,1124,1
Kelley,1329,3
Kelli,2563,5
Kellie,2156,2
Kelly,23121,50
Kelsey,23829,12
Kelsie,4365,1
Kelso,72,5
Kelvin,6244,2
Kemar,209,1
Ken,1226,4
Kenai,265,4
Kenan,1042,1
Kendall,25992,2
Kendi,161,1
Kendra,14200,3
Kendrick,4834,2
Kenji,886,13
Kenley,1731,1
Kenna,2986,3
Kennedy,29207,7
Kenneth,33985,1
Kenney,120,1
Kenny,5157,14
Keno,92,4
Kensey,285,2
Kenshin,132,1
Kensington,396,3
Kenta,154,1
Keny,87,2
Kenya,5269,16
Kenzi,687,4
Kenzie,5011,4
Kenzo,168,4
Keoki,101,1
Keola,111,1
Kera,800,1
Keri,1064,2
Kermit,100,7
Kerri,866,3
Kerry,2071,8
Kesha,125,5
Kevin,111120,19
Keya,359,2
Keyla,2841,1
Keyra,351,1
Khali,391,2
Khalia,891,1
Khan,83,6
Kharma,233,1
Khia,439,1
Khloe,6859,42
Khloey,188,1
Khristina,126,1
Khushi,816,2
Ki,112,3
Kia,658,4
Kiana,8543,2
Kiara,18869,11
Kiefer,557,1
Kiera,8514,2
Kieran,4986,1
Kiernan,874,2
Kierra,5179,1
Kiki,136,92
Kila,241,1
Kiley,8163,2
Killian,1965,2
Kim,1024,6
Kimber,1171,2
Kimberly,48500,4
Kimi,171,5
Kimiko,191,1
Kimo,139,4
Kimora,4731,1
Kina,176,4
Kindred,56,1
King,1933,211
Kingsley,572,8
Kingston,4500,30
Kinley,2962,1
Kinsey,2509,2
Kip,254,3
Kira,12043,32
Kirby,868,45
Kiri,158,1
Kirin,267,3
Kirk,1415,1
Kirra,1076,1
Kisha,136,1
Kit,117,6
Kitana,446,1
Kitty,141,21
Klara,646,2
Klaus,113,6
Kloe,1570,3
Knight,70,9
Knox,748,7
Koa,432,10
Koal,78,1
Kobe,9231,81
Kobee,111,1
Kobi,841,15
Kobie,687,1
Koby,2557,17
Koda,764,47
Kodi,1283,15
Kodiak,177,8
Kodie,673,1
Kody,5989,23
Kofi,387,5
Kohl,719,1
Koi,157,1
Koji,145,6
Kojo,93,1
Kolbi,322,1
Kolby,5046,1
Kole,3426,2
Kona,138,38
Kong,96,7
Konrad,792,2
Kooper,837,4
Kora,1101,3
Korbin,2547,1
Kord,77,1
Korea,104,1
Korey,2109,1
Kori,2251,3
Kory,1654,4
Kota,184,3
Kotaro,73,3
Koy,274,1
Kris,864,1
Krishna,1036,1
Krissy,180,6
Krista,4920,2
Kristal,1165,1
Kristan,349,1
Kristi,945,2
Kristian,6522,1
Kristina,9489,1
Kristoff,125,1
Kristy,1774,3
Kruz,267,1
Krystal,6798,9
Kuba,73,4
Kurt,2133,2
Kurtis,1664,2
Kush,484,10
Kweli,148,2
Kya,2613,4
Kyan,1605,1
Kye,1179,1
Kyla,16038,2
Kylah,2129,1
Kyle,76484,8
Kylee,21265,5
Kyli,856,2
Kylie,46483,19
Kyra,15599,10
Kyrie,1072,1
Kyzer,177,2
Lacee,468,1
Lacey,7370,57
Laci,3398,9
Lacie,2273,6
Lacy,2415,22
Lady,170,351
Lafayette,139,2
Laila,14397,32
Lailah,1758,1
Laina,788,1
Lainey,3177,3
Lainie,484,2
Lainy,105,1
Laisa,133,1
Lakai,106,1
Lake,628,1
Lakota,1014,5
Lam,92,1
Lamar,2878,1
Lambert,67,1
Lamont,1973,1
Lana,5739,34
Lance,10515,11
Lancelot,115,6
Landin,1411,1
Landon,61202,4
Landry,2267,5
Lane,10984,1
Laney,5128,3
Langley,170,2
Langston,1130,3
Lani,1139,3
Lara,3210,6
Larisa,549,2
Lark,143,3
Larkin,753,3
Larry,9111,19
Lars,1129,2
Laszlo,143,2
Latoya,530,1
Laura,24885,2
Lauren,97258,6
Laurent,131,1
Laurie,838,1
Lavender,294,1
Lavinia,262,2
Lawrence,7588,4
Layla,26105,164
Lazar,168,1
Lazaro,1339,3
Lazarus,707,8
Lazer,167,2
Lea,4238,15
Leah,45276,22
Lebron,629,2
Lee,4511,15
Leela,860,9
Leena,1304,1
Leeroy,229,1
Leeza,115,1
Legend,932,9
Leia,2096,28
Leigh,832,1
Leigha,1816,1
Leila,9872,49
Leilah,1088,4
Leilani,9223,3
Leisha,113,1
Lela,1372,3
Lelah,174,1
Leland,4510,4
Lena,6031,11
Lenard,184,1
Leni,113,1
Lenin,395,1
Lenna,209,1
Lennon,1552,10
Lennox,605,1
Lenny,837,34
Lenore,160,1
Lenox,111,10
Leo,12220,308
Leola,115,1
Leon,5027,23
Leona,1474,10
Leonard,3903,4
Leonardo,19446,23
Leonidas,728,10
Leonor,324,1
Leopold,346,7
Leroy,2097,20
Les,70,1
Lesley,4216,1
Leslie,31976,4
Lestat,244,1
Lester,1312,9
Levi,29266,25
Leviathan,77,1
Leviticus,263,2
Levon,463,7
Lewis,3385,3
Lex,712,17
Lexa,387,6
Lexee,195,1
Lexi,8957,168
Lexie,5374,75
Lexington,452,16
Lexis,1447,5
Lexus,2441,18
Lexx,57,5
Lexy,1215,19
Leya,406,3
Leyla,2401,12
Lia,5078,10
Liah,406,2
Liam,44878,21
Lianna,1440,2
Liba,182,1
Libby,2853,24
Liberty,5110,20
Lidia,1973,2
Liesel,209,1
Liesl,228,6
Lila,8997,53
Lilah,3360,15
Lilee,361,2
Lili,1086,27
Lilian,5767,2
Lilith,1343,2
Lilla,275,4
Lillee,359,1
Lilli,1295,11
Lillian,49276,5
Lilliana,5138,1
Lillie,5217,12
Lillith,422,1
Lilly,17173,157
Lillyanna,931,1
Lily,56072,381
Lilyrose,104,1
Lina,2508,7
Lincoln,8884,34
Linda,7153,48
Linden,666,3
Lindsay,12318,7
Lindsey,21775,6
Lindsy,302,1
Lindy,795,7
Link,156,13
Linnea,1353,1
Lino,591,2
Linus,691,43
Lionel,1440,6
Lisa,7003,9
Lisette,1770,1
Lita,425,7
Litzy,4535,1
Liv,887,1
Liyah,860,1
Liz,938,6
Liza,1243,12
Lizette,2674,1
Lizzie,560,30
Lizzy,169,18
Lj,63,2
Lloyd,1512,9
Locke,111,1
Logan,142065,83
Lois,774,2
Loki,301,97
Lola,7779,795
Lolita,233,23
Lona,188,1
Londen,226,1
London,11932,37
Londyn,2640,2
Long,306,1
Lonnie,1575,3
Lord,101,11
Lorelei,2906,4
Loren,3184,1
Lorenzo,10063,14
Loretta,911,10
Lori,1871,6
Lorna,630,1
Lorraine,1246,1
Lottie,227,12
Lotus,310,4
Lou,158,34
Louie,959,190
Louis,10220,66
Louisa,1146,5
Louise,1028,22
Lourdes,2039,2
Love,662,12
Lovely,429,7
Lovie,125,2
Loyal,154,1
Luann,106,2
Luc,1402,5
Luca,7600,75
Lucas,70869,84
Lucca,1046,9
Lucero,2254,2
Luci,512,11
Lucia,8062,15
Lucian,1863,1
Lucianna,371,1
Luciano,2592,3
Lucie,1084,13
Lucien,1052,1
Lucile,231,1
Lucille,3199,18
Lucina,139,1
Lucinda,1380,2
Lucio,964,1
Lucius,882,5
Lucky,560,723
Lucus,422,1
Lucy,19322,710
Ludwig,71,8
Luella,391,1
Luigi,568,37
Luis,74365,5
Luisa,2242,1
Luka,2144,25
Lukas,11575,13
Luke,90378,99
Lukus,291,1
Lula,287,24
Lulu,299,339
Luna,4715,432
Lupe,230,20
Lupita,1235,4
Luther,865,9
Lux,137,7
Luz,4709,2
Lydia,26185,2
Lyla,5943,35
Lyle,940,2
Lyndee,217,1
Lyndon,894,1
Lynn,1592,1
Lyra,749,3
Lyric,5620,9
Ma,113,2
Mabel,1068,60
Mable,153,7
Mac,701,48
Macallan,58,3
Macallister,107,1
Macarthur,97,2
Mace,244,2
Macee,772,1
Macey,4813,4
Macgregor,109,2
Maci,4235,5
Macie,6562,7
Mack,1266,47
Mackay,91,1
Mackenzie,55487,11
Mackenzy,553,1
Macklin,231,1
Macon,227,1
Macy,13185,23
Madalena,161,1
Madden,1870,8
Maddi,184,2
Maddie,1475,82
Maddison,7403,2
Maddox,9914,7
Maddux,1019,1
Maddy,241,25
Madeleine,10601,7
Madeline,48276,24
Madelyn,32556,1
Madigan,539,2
Madison,193746,161
Madonna,122,4
Madysen,1639,1
Mae,1707,5
Maeve,4064,3
Magda,259,3
Magdalena,2818,4
Maggi,195,2
Maggie,16854,393
Maggy,155,6
Magic,71,32
Magnolia,904,13
Magnum,83,9
Magnus,1022,12
Mahogany,1069,1
Mai,745,5
Maia,5033,14
Maija,333,1
Maimouna,182,1
Mairead,460,1
Maisey,194,2
Maisie,1082,28
Maison,1101,5
Maisy,672,21
Maiya,1644,1
Maizie,339,4
Maizy,339,4
Maja,636,5
Majestic,106,1
Majesty,244,1
Major,860,40
Makala,1476,1
Makari,156,1
Makayla,54905,1
Makena,2918,3
Makenzie,17530,1
Maki,258,7
Malachi,20758,2
Malachy,240,2
Malakai,2431,1
Malaki,1827,1
Malcolm,5131,12
Malcom,553,4
Malena,1232,1
Mali,411,11
Malia,8168,2
Malina,1203,1
Mallie,321,1
Mallory,14312,2
Malone,84,1
Mame,187,1
Mamie,244,3
Mandy,2251,42
Manning,231,2
Manny,645,24
Manolo,217,8
Manu,177,4
Manya,250,3
Maple,108,24
Mara,4024,5
Marc,8791,4
Marcel,2246,15
Marcela,1771,2
Marcell,817,1
Marcello,1394,16
Marcelo,2182,1
Marchello,139,1
Marci,202,1
Marcie,234,1
Marco,19085,20
Marcos,13572,1
Marcus,35475,22
Marcy,360,5
Marely,1836,1
Margaret,23837,3
Margarita,2843,4
Margaux,576,6
Margie,285,1
Margo,882,6
Margot,1170,7
Marguerite,927,1
Mari,1491,3
Maria,56953,7
Mariah,35557,4
Marian,2063,2
Mariano,1679,2
Maribel,3366,1
Marie,6083,11
Marietta,196,1
Marilu,280,1
Marilyn,5338,4
Marina,7495,1
Marino,269,1
Mario,22356,16
Marion,2480,1
Mariposa,121,2
Mariska,471,4
Marisol,7827,1
Marissa,31991,1
Mariyah,2256,2
Marjorie,1169,3
Mark,37106,9
Markie,168,1
Marko,1037,1
Marla,902,6
Marlee,3996,10
Marleigh,1095,1
Marlena,1170,1
Marlene,5270,2
Marley,10258,151
Marli,773,1
Marlie,1294,3
Marlin,1201,1
Marlo,774,7
Marlon,4555,2
Marlow,134,6
Marlowe,348,9
Marly,497,6
Marni,127,5
Marnie,164,5
Marquis,4908,4
Mars,71,10
Marshal,691,2
Marshall,7362,14
Marta,900,2
Martha,5996,12
Marti,198,1
Martin,18693,16
Martina,1760,2
Martinez,129,1
Marty,587,40
Marvel,107,1
Marvin,8134,16
Mary,45943,23
Maryjane,2274,1
Marylin,297,1
Mason,91589,76
Massimo,995,10
Master,83,5
Mateo,10445,8
Mathew,10586,1
Mathias,2142,5
Mathilda,214,2
Mathilde,178,1
Matias,2039,2
Matilda,1697,52
Matisse,95,2
Matt,554,5
Matteo,3229,4
Matthew,221325,5
Matti,239,1
Mattie,3261,18
Mattingly,130,4
Matty,182,8
Maurice,7158,10
Maurico,62,1
Maury,166,1
Maverick,3301,18
Mavis,128,11
Max,27281,1153
Maxamillian,75,1
Maxamillion,155,12
Maxie,70,40
Maxim,2221,4
Maximilian,5078,13
Maximiliano,3818,2
Maximillian,2003,10
Maximillion,172,7
Maximino,357,2
Maximo,1874,13
Maximus,8586,163
Maxine,1563,41
Maxwel,131,1
Maxwell,29983,80
Maxx,1041,28
Maxximus,111,2
May,878,13
Maya,39968,151
Maybelline,106,2
Mayer,378,1
Mayla,264,4
Maylin,842,1
Maynard,191,2
Mayson,1404,1
Mayzie,151,3
Mazie,696,8
Mazin,221,1
Mazzy,306,7
Mccartney,183,1
Mccoy,410,4
Mcguire,100,1
Mckenzie,22864,5
Mckinley,3190,2
Mea,720,3
Meadow,3016,5
Mecca,411,4
Medina,391,1
Meena,417,2
Meera,715,1
Meg,878,3
Megan,66842,8
Meghan,14062,2
Mei,385,19
Meisha,105,1
Mel,254,8
Mela,122,4
Melani,1244,1
Melanie,35249,12
Melany,5259,1
Melia,1586,1
Melina,5396,1
Melinda,2473,1
Melissa,32596,4
Melodie,748,2
Melody,10806,17
Melvin,6181,8
Memphis,2369,20
Menachem,1668,1
Menno,120,1
Mercedes,8417,9
Mercedez,1088,1
Mercer,153,2
Mercy,1517,6
Meri,133,1
Merle,204,5
Merlin,610,24
Merlyn,156,1
Merrick,1330,1
Merry,200,5
Meryl,202,2
Mesa,199,1
Messiah,2482,2
Meyer,272,1
Mia,83411,344
Miabella,340,1
Miah,3065,4
Miaya,126,1
Mica,533,9
Micah,30496,7
Micha,479,3
